Gene stable ID	Transcript stable ID	Gene name	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	NCBI gene (formerly Entrezgene) ID	Chromosome/scaffold name
ENSACLG00000008150	ENSACLT00000012309	ano10a	4312689	4312689	4485404	113032055	11
ENSACLG00000008150	ENSACLT00000012333	ano10a	4313810	4312689	4485404	113032055	11
ENSACLG00000008150	ENSACLT00000012349	ano10a	4320527	4312689	4485404	113032055	11
ENSACLG00000008151	ENSACLT00000012204	lft1	21900542	21900542	21903496	113006385	15
ENSACLG00000008152	ENSACLT00000012205		23362586	23355312	23364270		9
ENSACLG00000008152	ENSACLT00000012209		23364270	23355312	23364270		9
ENSACLG00000008153	ENSACLT00000012228	vps33b	4955814	4955814	4965218	113010943	1
ENSACLG00000008154	ENSACLT00000012207	tmem63a	5660595	5660595	5679184	113006450	15
ENSACLG00000008155	ENSACLT00000012238		9673998	9673998	9675904	113033751	12
ENSACLG00000008156	ENSACLT00000012208	gnb5a	52842970	52838445	52842970	113026657	7
ENSACLG00000008157	ENSACLT00000012221	RASGEF1C	27916431	27910129	27916431		2
ENSACLG00000008157	ENSACLT00000012233	RASGEF1C	27914928	27910129	27916431		2
ENSACLG00000008158	ENSACLT00000012219		41966572	41966572	41977750	113015979	23
ENSACLG00000008158	ENSACLT00000012242		41966646	41966572	41977750	113015979	23
ENSACLG00000008159	ENSACLT00000012210		18183950	18182591	18183950		3
ENSACLG00000008160	ENSACLT00000012213	csrp1a	30137415	30137415	30147898	113012963	20
ENSACLG00000008161	ENSACLT00000012211		13988277	13988277	13990694		5
ENSACLG00000008162	ENSACLT00000012223	ido1	22811252	22806571	22811252	113033188	12
ENSACLG00000008163	ENSACLT00000012212		33060551	33059934	33060551		13
ENSACLG00000008164	ENSACLT00000012215	prph2b	33061782	33061782	33066101	113035436	13
ENSACLG00000008165	ENSACLT00000012236	hnrnpub	21917594	21909096	21917594	113037501	15
ENSACLG00000008165	ENSACLT00000012254	hnrnpub	21917594	21909096	21917594	113037501	15
ENSACLG00000008166	ENSACLT00000012227	ublcp1	19604018	19604018	19618877	113031020	10
ENSACLG00000008166	ENSACLT00000012244	ublcp1	19605350	19604018	19618877	113031020	10
ENSACLG00000008167	ENSACLT00000012214	cyc1	14012823	14012823	14019202	113022198	5
ENSACLG00000008168	ENSACLT00000012217	pcdh7b	18306432	18190664	18306432		3
ENSACLG00000008168	ENSACLT00000012225	pcdh7b	18306432	18190664	18306432		3
ENSACLG00000008169	ENSACLT00000012253	yme1l1a	23374885	23363965	23374885	113029275	9
ENSACLG00000008169	ENSACLT00000012270	yme1l1a	23374285	23363965	23374885	113029275	9
ENSACLG00000008170	ENSACLT00000012235	mrps18a	5700566	5690545	5700566	113006812	15
ENSACLG00000008170	ENSACLT00000012247	mrps18a	5700365	5690545	5700566	113006812	15
ENSACLG00000008171	ENSACLT00000012216	phlda3	30148510	30148510	30148911		20
ENSACLG00000008172	ENSACLT00000012659		19691475	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000013807		19690650	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000013976		19690924	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000013994		19690920	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000014738		19690920	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000016315		19694452	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000016608		19694452	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000016680		19694452	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017094		19690920	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017130		19690405	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017199		19700391	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017215		19700391	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017382		19704203	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017390		19704131	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017395		19702816	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017413		19702647	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017433		19702537	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017437		19701403	19685791	19704203		11
ENSACLG00000008172	ENSACLT00000017445		19700515	19685791	19704203		11
ENSACLG00000008173	ENSACLT00000012224		14021469	14019612	14021469		5
ENSACLG00000008174	ENSACLT00000012294	myo5c	52854647	52843948	52854647		7
ENSACLG00000008175	ENSACLT00000012218		65373252	65373252	65377298	113027119	7
ENSACLG00000008176	ENSACLT00000012222	KCNG3	33074470	33074470	33077552	113034928	13
ENSACLG00000008177	ENSACLT00000012226	TNNI1	30157292	30157292	30162371		20
ENSACLG00000008177	ENSACLT00000012239	TNNI1	30159316	30157292	30162371		20
ENSACLG00000008178	ENSACLT00000012231		14023749	14023749	14026233		5
ENSACLG00000008179	ENSACLT00000012230		18215707	18215707	18222298		3
ENSACLG00000008180	ENSACLT00000012237	tspan14	33087672	33087672	33098037	113034584	13
ENSACLG00000008180	ENSACLT00000012248	tspan14	33087724	33087672	33098037	113034584	13
ENSACLG00000008181	ENSACLT00000012250	zgc:110789	65384915	65375389	65384915	113027118	7
ENSACLG00000008181	ENSACLT00000012259	zgc:110789	65383849	65375389	65384915	113027118	7
ENSACLG00000008182	ENSACLT00000012234	rhobtb2a	22812597	22812597	22820382	113033187	12
ENSACLG00000008182	ENSACLT00000012241	rhobtb2a	22813739	22812597	22820382	113033187	12
ENSACLG00000008182	ENSACLT00000012260	rhobtb2a	22816110	22812597	22820382	113033187	12
ENSACLG00000008183	ENSACLT00000012284	ergic3	14027641	14027641	14046972	113022195	5
ENSACLG00000008183	ENSACLT00000012306	ergic3	14027641	14027641	14046972	113022195	5
ENSACLG00000008183	ENSACLT00000012317	ergic3	14027641	14027641	14046972	113022195	5
ENSACLG00000008184	ENSACLT00000012265	mapk9	27999614	27981702	27999614	113036079	2
ENSACLG00000008184	ENSACLT00000012280	mapk9	27999614	27981702	27999614	113036079	2
ENSACLG00000008184	ENSACLT00000012292	mapk9	27997625	27981702	27999614	113036079	2
ENSACLG00000008185	ENSACLT00000012243	areg	9695428	9690227	9695428	113034334	12
ENSACLG00000008185	ENSACLT00000012249	areg	9694745	9690227	9695428	113034334	12
ENSACLG00000008186	ENSACLT00000012258	lad1	30163104	30163104	30168542		20
ENSACLG00000008187	ENSACLT00000012257		41981760	41981760	41982496		23
ENSACLG00000008188	ENSACLT00000012251	arl1	35869998	35864613	35869998	113009778	17
ENSACLG00000008189	ENSACLT00000012255	rsph9	5690545	5690545	5694815	113006811	15
ENSACLG00000008190	ENSACLT00000012261	IL12B	19621346	19617606	19621346	113030772	10
ENSACLG00000008191	ENSACLT00000012256	prc1b	4968089	4968089	4975485	113011101	1
ENSACLG00000008192	ENSACLT00000012316	EML4	33098058	33098058	33126427	113034582	13
ENSACLG00000008192	ENSACLT00000012345	EML4	33098058	33098058	33126427	113034582	13
ENSACLG00000008193	ENSACLT00000012271	DENND11	35870717	35870717	35882998	113009777	17
ENSACLG00000008194	ENSACLT00000012272		41998210	41998210	41999792		23
ENSACLG00000008195	ENSACLT00000012266		21922284	21922284	21948265	113006715	15
ENSACLG00000008196	ENSACLT00000012289	tbx2a	9214949	9207179	9215395	113029980	10
ENSACLG00000008196	ENSACLT00000012295	tbx2a	9215395	9207179	9215395	113029980	10
ENSACLG00000008197	ENSACLT00000012267	ubtd2	19634935	19621437	19634935	113030771	10
ENSACLG00000008198	ENSACLT00000012268	tnnt2a	30169610	30169610	30177201		20
ENSACLG00000008198	ENSACLT00000012282	tnnt2a	30169610	30169610	30177201		20
ENSACLG00000008198	ENSACLT00000012305	tnnt2a	30169610	30169610	30177201		20
ENSACLG00000008199	ENSACLT00000012278		22842691	22842691	22869994		12
ENSACLG00000008200	ENSACLT00000012273		65387311	65387311	65390696	113027497	7
ENSACLG00000008201	ENSACLT00000012277		19634788	19634736	19634788		10
ENSACLG00000008202	ENSACLT00000012274	mastl	23375602	23375602	23381572	113029274	9
ENSACLG00000008203	ENSACLT00000012285		42003671	42003671	42006042		23
ENSACLG00000008203	ENSACLT00000012291		42003671	42003671	42006042		23
ENSACLG00000008204	ENSACLT00000012279	cnstb	21951624	21951624	21972043	113006555	15
ENSACLG00000008205	ENSACLT00000012377	fgd4b	35891933	35882041	35892801		17
ENSACLG00000008205	ENSACLT00000012398	fgd4b	35892801	35882041	35892801		17
ENSACLG00000008205	ENSACLT00000012410	fgd4b	35892801	35882041	35892801		17
ENSACLG00000008206	ENSACLT00000012297	bicd1a	65392603	65392603	65421861	113027121	7
ENSACLG00000008207	ENSACLT00000012293	egr3	22882519	22882519	22886497	113034297	12
ENSACLG00000008208	ENSACLT00000012287	acbd5a	23391891	23381689	23391891	113029280	9
ENSACLG00000008208	ENSACLT00000012304	acbd5a	23391891	23381689	23391891	113029280	9
ENSACLG00000008208	ENSACLT00000012314	acbd5a	23391891	23381689	23391891	113029280	9
ENSACLG00000008209	ENSACLT00000012351		21998155	21993702	21998155		15
ENSACLG00000008210	ENSACLT00000012298		10293455	10293455	10294299		4
ENSACLG00000008211	ENSACLT00000012302		42019944	42019944	42028989		23
ENSACLG00000008212	ENSACLT00000012303	ppm1db	9241872	9232264	9241872	113030884	10
ENSACLG00000008213	ENSACLT00000012313	bin3	22900330	22900330	22924834		12
ENSACLG00000008214	ENSACLT00000012323	gfpt2	28019217	28000319	28019217	113036093	2
ENSACLG00000008215	ENSACLT00000012373	myo5ab	52874251	52856597	52874251		7
ENSACLG00000008216	ENSACLT00000012335	fgd4a	65467361	65467361	65475271		7
ENSACLG00000008216	ENSACLT00000012348	fgd4a	65471189	65467361	65475271		7
ENSACLG00000008217	ENSACLT00000012307	anos1a	42049392	42049392	42075731		23
ENSACLG00000008218	ENSACLT00000012319		42115323	42115323	42116753		23
ENSACLG00000008219	ENSACLT00000012332	ROBO1	9247084	9247084	9340941		10
ENSACLG00000008219	ENSACLT00000012353	ROBO1	9247084	9247084	9340941		10
ENSACLG00000008219	ENSACLT00000012386	ROBO1	9261531	9247084	9340941		10
ENSACLG00000008219	ENSACLT00000012419	ROBO1	9281570	9247084	9340941		10
ENSACLG00000008220	ENSACLT00000012320	PKP1	30195473	30180970	30195473	113012931	20
ENSACLG00000008221	ENSACLT00000012322	trappc1	1970260	1970260	1974787		3
ENSACLG00000008221	ENSACLT00000012326	trappc1	1970983	1970260	1974787		3
ENSACLG00000008221	ENSACLT00000012330	trappc1	1970983	1970260	1974787		3
ENSACLG00000008222	ENSACLT00000012324	sts	42119502	42119502	42133947		23
ENSACLG00000008223	ENSACLT00000013842		10307313	10301828	10307313		4
ENSACLG00000008223	ENSACLT00000013854		10303904	10301828	10307313		4
ENSACLG00000008224	ENSACLT00000012327		10295970	10295970	10299911		18
ENSACLG00000008225	ENSACLT00000012328	acsl2	22944313	22924855	22944313	113034296	12
ENSACLG00000008225	ENSACLT00000012340	acsl2	22932510	22924855	22944313	113034296	12
ENSACLG00000008226	ENSACLT00000012329	STK24	18547787	18547787	18562460	113007874	16
ENSACLG00000008226	ENSACLT00000012341	STK24	18547787	18547787	18562460	113007874	16
ENSACLG00000008226	ENSACLT00000012356	STK24	18548730	18547787	18562460	113007874	16
ENSACLG00000008227	ENSACLT00000012337	romo1	14039553	14039017	14039553	113022208	5
ENSACLG00000008228	ENSACLT00000012363	chs1	23529676	23529676	23546502		1
ENSACLG00000008229	ENSACLT00000012336		42148622	42141307	42148622		23
ENSACLG00000008229	ENSACLT00000012346		42148622	42141307	42148622		23
ENSACLG00000008230	ENSACLT00000012350	TEAD3	30213329	30201119	30213329		20
ENSACLG00000008231	ENSACLT00000012338	ndufv2	10309898	10309898	10320377	113010883	18
ENSACLG00000008232	ENSACLT00000012378	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012394	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012407	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012415	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012424	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012436	abi1a	23392838	23392838	23441484	113029279	9
ENSACLG00000008232	ENSACLT00000012450	abi1a	23393217	23392838	23441484	113029279	9
ENSACLG00000008233	ENSACLT00000012339	KCNAB3	1975365	1975365	1996272		3
ENSACLG00000008233	ENSACLT00000012352	KCNAB3	1976319	1975365	1996272		3
ENSACLG00000008233	ENSACLT00000012365	KCNAB3	1980433	1975365	1996272		3
ENSACLG00000008234	ENSACLT00000012343	mych	14093275	14093275	14095040		5
ENSACLG00000008235	ENSACLT00000012342		28034712	28026505	28034712	113036101	2
ENSACLG00000008236	ENSACLT00000012347	U6	14184084	14184084	14184191	113023126	5
ENSACLG00000008237	ENSACLT00000012359		28041764	28036958	28041764		2
ENSACLG00000008237	ENSACLT00000012366		28041764	28036958	28041764		2
ENSACLG00000008238	ENSACLT00000012360	snap25a	22030773	21995188	22030773	113037342	15
ENSACLG00000008238	ENSACLT00000012369	snap25a	22030773	21995188	22030773	113037342	15
ENSACLG00000008238	ENSACLT00000012381	snap25a	22015474	21995188	22030773	113037342	15
ENSACLG00000008239	ENSACLT00000012355	ankrd12	10343425	10343425	10360848	113010880	18
ENSACLG00000008239	ENSACLT00000012364	ankrd12	10343425	10343425	10360848	113010880	18
ENSACLG00000008240	ENSACLT00000012399	nup205	65493895	65477696	65493895		7
ENSACLG00000008241	ENSACLT00000012361		30236364	30229149	30237371		20
ENSACLG00000008241	ENSACLT00000012376		30237371	30229149	30237371		20
ENSACLG00000008242	ENSACLT00000012357	pudp	42262093	42262093	42295511	113016614	23
ENSACLG00000008243	ENSACLT00000012362	snrka	4412599	4358553	4412599	113032054	11
ENSACLG00000008243	ENSACLT00000012379	snrka	4411048	4358553	4412599	113032054	11
ENSACLG00000008244	ENSACLT00000012367	dda1	23371374	23367863	23371374		18
ENSACLG00000008245	ENSACLT00000012368	ino80da	18574225	18570128	18574225	113007549	16
ENSACLG00000008245	ENSACLT00000012385	ino80da	18574196	18570128	18574225	113007549	16
ENSACLG00000008246	ENSACLT00000012370		22952403	22945103	22952403		12
ENSACLG00000008247	ENSACLT00000012371	mrpl34	23376629	23375244	23376629		18
ENSACLG00000008248	ENSACLT00000012374	ddx21	23558490	23545848	23558490	113023927	1
ENSACLG00000008249	ENSACLT00000012372	si:dkeyp-72g9.4	28051869	28051109	28051869		2
ENSACLG00000008250	ENSACLT00000012412		28198445	28062038	28198445		2
ENSACLG00000008251	ENSACLT00000012380	abhd8a	23381863	23381863	23387571	113011307	18
ENSACLG00000008251	ENSACLT00000012397	abhd8a	23381872	23381863	23387571	113011307	18
ENSACLG00000008252	ENSACLT00000012375	twsg1a	10362525	10362525	10382909	113011176	18
ENSACLG00000008253	ENSACLT00000012391		2042671	2042671	2045834		3
ENSACLG00000008254	ENSACLT00000012383		30231029	30231029	30231102		20
ENSACLG00000008255	ENSACLT00000012382	ARPP19	52883279	52880283	52883279	113026675	7
ENSACLG00000008255	ENSACLT00000012389	ARPP19	52882845	52880283	52883279	113026675	7
ENSACLG00000008256	ENSACLT00000012405	ralbp1	10384756	10384756	10397462	113010917	18
ENSACLG00000008256	ENSACLT00000012414	ralbp1	10384756	10384756	10397462	113010917	18
ENSACLG00000008257	ENSACLT00000012387	5S_rRNA	4414193	4414193	4414304		11
ENSACLG00000008258	ENSACLT00000012388		30231261	30231261	30231338		20
ENSACLG00000008259	ENSACLT00000012390	ankef1a	22065153	22052184	22065153		15
ENSACLG00000008260	ENSACLT00000012395	5S_rRNA	4414528	4414528	4414646		11
ENSACLG00000008261	ENSACLT00000012392	mpc1	23568850	23568850	23573514	113022579	1
ENSACLG00000008262	ENSACLT00000012393		30236838	30234706	30236838	113012949	20
ENSACLG00000008262	ENSACLT00000012400		30236257	30234706	30236838	113012949	20
ENSACLG00000008263	ENSACLT00000012417	ndufs1	18585095	18576898	18585095	113007550	16
ENSACLG00000008264	ENSACLT00000012396		22952991	22952991	22960098	113033208	12
ENSACLG00000008265	ENSACLT00000012404	rsl24d1	52888566	52883235	52888566	113026673	7
ENSACLG00000008266	ENSACLT00000012401		2056362	2056362	2059620		3
ENSACLG00000008267	ENSACLT00000012701	nlgn4xa	42431759	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012730	nlgn4xa	42432030	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012761	nlgn4xa	42433593	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012776	nlgn4xa	42433811	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012787	nlgn4xa	42435411	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012927	nlgn4xa	42436773	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012976	nlgn4xa	42436773	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000012993	nlgn4xa	42436773	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000013087	nlgn4xa	42436773	42431759	42541060		23
ENSACLG00000008267	ENSACLT00000013093	nlgn4xa	42436887	42431759	42541060		23
ENSACLG00000008268	ENSACLT00000012402		4466622	4464361	4466622		11
ENSACLG00000008269	ENSACLT00000012403	kifbp	23573535	23573535	23583260	113023934	1
ENSACLG00000008270	ENSACLT00000012406	kdm4ab	23387796	23387796	23414196	113010416	18
ENSACLG00000008271	ENSACLT00000012425	si:dkey-32e23.4	22956510	22956510	22971834	113033207	12
ENSACLG00000008271	ENSACLT00000012449	si:dkey-32e23.4	22957896	22956510	22971834	113033207	12
ENSACLG00000008272	ENSACLT00000012408	gask1a	4560679	4481457	4560679	113032237	11
ENSACLG00000008273	ENSACLT00000012411	LGR6	30257945	30257945	30295226	113012927	20
ENSACLG00000008274	ENSACLT00000012413		2083641	2083641	2117089		3
ENSACLG00000008275	ENSACLT00000012501	emilin1a	22083433	22069767	22083433		15
ENSACLG00000008275	ENSACLT00000012512	emilin1a	22083433	22069767	22083433		15
ENSACLG00000008275	ENSACLT00000012534	emilin1a	22082549	22069767	22083433		15
ENSACLG00000008275	ENSACLT00000012568	emilin1a	22079848	22069767	22083433		15
ENSACLG00000008275	ENSACLT00000012606	emilin1a	22076963	22069767	22083433		15
ENSACLG00000008276	ENSACLT00000012502	agk	65494477	65494477	65502035	113027126	7
ENSACLG00000008276	ENSACLT00000012533	agk	65494477	65494477	65502035	113027126	7
ENSACLG00000008277	ENSACLT00000012455	prtgb	52906402	52889732	52906402	113026607	7
ENSACLG00000008277	ENSACLT00000012470	prtgb	52906402	52889732	52906402	113026607	7
ENSACLG00000008277	ENSACLT00000012495	prtgb	52906221	52889732	52906402	113026607	7
ENSACLG00000008278	ENSACLT00000012420		23587664	23587664	23592896		1
ENSACLG00000008279	ENSACLT00000012426	cnot6b	28300280	28289298	28300280	113036147	2
ENSACLG00000008280	ENSACLT00000012416	tgfbr2b	4631590	4631590	4706076	113031657	11
ENSACLG00000008280	ENSACLT00000012423	tgfbr2b	4631590	4631590	4706076	113031657	11
ENSACLG00000008280	ENSACLT00000012432	tgfbr2b	4631590	4631590	4706076	113031657	11
ENSACLG00000008280	ENSACLT00000012537	tgfbr2b	4633065	4631590	4706076	113031657	11
ENSACLG00000008281	ENSACLT00000012430	mapk11	35902915	35902915	35915769	113009105	17
ENSACLG00000008282	ENSACLT00000012418		2116056	2116056	2144545		3
ENSACLG00000008283	ENSACLT00000012421		2155164	2151868	2155164		3
ENSACLG00000008284	ENSACLT00000012427	ube2t	30300416	30293167	30300416	113012961	20
ENSACLG00000008284	ENSACLT00000012435	ube2t	30299621	30293167	30300416	113012961	20
ENSACLG00000008285	ENSACLT00000012428		2171229	2171229	2190003		3
ENSACLG00000008286	ENSACLT00000012433	vps26a	23594901	23594901	23606866	113023950	1
ENSACLG00000008287	ENSACLT00000012429	RAB31	10397557	10397557	10409615	113011422	18
ENSACLG00000008288	ENSACLT00000012447	ROBO2	9441028	9353814	9441028	113030223	10
ENSACLG00000008288	ENSACLT00000012469	ROBO2	9441028	9353814	9441028	113030223	10
ENSACLG00000008289	ENSACLT00000012431	gpr1	18588280	18587204	18588280	113007551	16
ENSACLG00000008290	ENSACLT00000012439	st3gal3b	23435904	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012443	st3gal3b	23449109	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012457	st3gal3b	23449109	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012466	st3gal3b	23449109	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012479	st3gal3b	23449109	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012486	st3gal3b	23450421	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012543	st3gal3b	23450836	23435904	23489496	113011386	18
ENSACLG00000008290	ENSACLT00000012558	st3gal3b	23452136	23435904	23489496	113011386	18
ENSACLG00000008291	ENSACLT00000012434		2205977	2205977	2216836		3
ENSACLG00000008292	ENSACLT00000012445	vapal	10410802	10410802	10426330	113011421	18
ENSACLG00000008292	ENSACLT00000012456	vapal	10415313	10410802	10426330	113011421	18
ENSACLG00000008293	ENSACLT00000012440		2226560	2226560	2230119		3
ENSACLG00000008294	ENSACLT00000012459	mapk12b	35919965	35919965	35927484	113009682	17
ENSACLG00000008295	ENSACLT00000012446	zgc:194242	30304672	30300687	30304672	113012955	20
ENSACLG00000008296	ENSACLT00000012441		23606887	23606887	23607918		1
ENSACLG00000008297	ENSACLT00000012458		2231392	2231392	2236722		3
ENSACLG00000008298	ENSACLT00000012478	hadhab	18439750	18439750	18450136	113012532	19
ENSACLG00000008298	ENSACLT00000012490	hadhab	18440299	18439750	18450136	113012532	19
ENSACLG00000008299	ENSACLT00000012448	sept5b	5498262	5498262	5515634	113025186	7
ENSACLG00000008299	ENSACLT00000012465	sept5b	5499059	5498262	5515634	113025186	7
ENSACLG00000008300	ENSACLT00000012442	si:ch211-199b20.3	28309008	28299494	28309008	113036134	2
ENSACLG00000008300	ENSACLT00000012452	si:ch211-199b20.3	28309008	28299494	28309008	113036134	2
ENSACLG00000008300	ENSACLT00000012463	si:ch211-199b20.3	28309008	28299494	28309008	113036134	2
ENSACLG00000008301	ENSACLT00000012454	ARHGAP8	16584477	16584477	16594197	113008825	17
ENSACLG00000008301	ENSACLT00000012467	ARHGAP8	16584963	16584477	16594197	113008825	17
ENSACLG00000008302	ENSACLT00000012444	ADAM23	18593971	18593971	18617477	113007817	16
ENSACLG00000008302	ENSACLT00000012461	ADAM23	18593971	18593971	18617477	113007817	16
ENSACLG00000008302	ENSACLT00000012485	ADAM23	18593971	18593971	18617477	113007817	16
ENSACLG00000008302	ENSACLT00000012503	ADAM23	18593971	18593971	18617477	113007817	16
ENSACLG00000008302	ENSACLT00000012525	ADAM23	18593971	18593971	18617477	113007817	16
ENSACLG00000008303	ENSACLT00000012451	supv3l1	23611008	23611008	23619304	113023966	1
ENSACLG00000008304	ENSACLT00000012453	etv7	30304693	30304693	30310174	113012940	20
ENSACLG00000008305	ENSACLT00000012460	DISP3	22971843	22971843	22983788	113033206	12
ENSACLG00000008306	ENSACLT00000012471	pdss1	23452874	23444237	23452874	113029282	9
ENSACLG00000008306	ENSACLT00000012480	pdss1	23449007	23444237	23452874	113029282	9
ENSACLG00000008307	ENSACLT00000012462		10424482	10419924	10424482		18
ENSACLG00000008308	ENSACLT00000012468		2231629	2231629	2234145		3
ENSACLG00000008309	ENSACLT00000012464		30313358	30313358	30320779	113012937	20
ENSACLG00000008310	ENSACLT00000012488	hkdc1	23619010	23619010	23634073		1
ENSACLG00000008311	ENSACLT00000012475		10451591	10430806	10451591	113011419	18
ENSACLG00000008311	ENSACLT00000012483		10451591	10430806	10451591	113011419	18
ENSACLG00000008311	ENSACLT00000012489		10445095	10430806	10451591	113011419	18
ENSACLG00000008312	ENSACLT00000012473	rpap3	35953005	35945930	35953005	113009236	17
ENSACLG00000008313	ENSACLT00000012472	KCNA10	30335664	30333949	30335664	113012932	20
ENSACLG00000008314	ENSACLT00000012476		2258233	2258233	2266470		3
ENSACLG00000008315	ENSACLT00000012474	kcna2b	30359878	30358385	30359878	113012936	20
ENSACLG00000008316	ENSACLT00000012506	mctp1b	5516757	5516757	5554836	113025185	7
ENSACLG00000008316	ENSACLT00000012524	mctp1b	5533054	5516757	5554836	113025185	7
ENSACLG00000008317	ENSACLT00000012481		28306386	28306386	28309783		2
ENSACLG00000008318	ENSACLT00000012477	KCNA3	30376032	30374437	30376032	113012934	20
ENSACLG00000008319	ENSACLT00000012482	PHF21B	16683351	16597538	16683351	113008815	17
ENSACLG00000008320	ENSACLT00000012484		2305928	2305928	2307513		3
ENSACLG00000008321	ENSACLT00000012505	bmp1a	23015993	22987638	23015993	113033287	12
ENSACLG00000008321	ENSACLT00000012527	bmp1a	23006187	22987638	23015993	113033287	12
ENSACLG00000008322	ENSACLT00000012487	auh	2343632	2343632	2348450		3
ENSACLG00000008323	ENSACLT00000012491	atp23	35954088	35954088	35959889	113009237	17
ENSACLG00000008324	ENSACLT00000012492	nup50	16706801	16706801	16713840	113008822	17
ENSACLG00000008325	ENSACLT00000012493		23449727	23449727	23455829	113029277	9
ENSACLG00000008325	ENSACLT00000012507		23449727	23449727	23455829	113029277	9
ENSACLG00000008325	ENSACLT00000012521		23449727	23449727	23455829	113029277	9
ENSACLG00000008326	ENSACLT00000012494		9443494	9443494	9444773		10
ENSACLG00000008327	ENSACLT00000012547		2358166	2350082	2358166	113011643	3
ENSACLG00000008327	ENSACLT00000012547		2358166	2350082	2358166	113015839	3
ENSACLG00000008327	ENSACLT00000012577		2354873	2350082	2358166	113011643	3
ENSACLG00000008327	ENSACLT00000012577		2354873	2350082	2358166	113015839	3
ENSACLG00000008327	ENSACLT00000012587		2354168	2350082	2358166	113011643	3
ENSACLG00000008327	ENSACLT00000012587		2354168	2350082	2358166	113015839	3
ENSACLG00000008328	ENSACLT00000012497	kif3cb	18450157	18450157	18456325	113012531	19
ENSACLG00000008329	ENSACLT00000012496		9465604	9465604	9465670		10
ENSACLG00000008330	ENSACLT00000012518	hk1	23640424	23640424	23658181	113023978	1
ENSACLG00000008331	ENSACLT00000012498		10493322	10490345	10493322		18
ENSACLG00000008332	ENSACLT00000012500	lrig3	36025721	35999685	36025721	113009143	17
ENSACLG00000008333	ENSACLT00000012499	pcdh1a	9639395	9538846	9639395	113030835	10
ENSACLG00000008334	ENSACLT00000012515	zgc:172139	16739274	16719199	16739274	113008824	17
ENSACLG00000008334	ENSACLT00000012523	zgc:172139	16732884	16719199	16739274	113008824	17
ENSACLG00000008335	ENSACLT00000012504		10492283	10492283	10492871		18
ENSACLG00000008336	ENSACLT00000012514	rfx7b	52924435	52908431	52924435	113026605	7
ENSACLG00000008336	ENSACLT00000012528	rfx7b	52924435	52908431	52924435	113026605	7
ENSACLG00000008337	ENSACLT00000012508	asxl2	18456346	18456346	18472342	113012529	19
ENSACLG00000008338	ENSACLT00000012509		9799689	9799689	9805209	113031164	10
ENSACLG00000008339	ENSACLT00000012513	EPB41L3	10534565	10494358	10534565	113009891	18
ENSACLG00000008340	ENSACLT00000012510		9810959	9810959	9813328		10
ENSACLG00000008341	ENSACLT00000012511	PCDHAC2	9827180	9827180	9845422	113030459	10
ENSACLG00000008342	ENSACLT00000012520	SLC16A7	36076608	36076608	36087751	113009195	17
ENSACLG00000008343	ENSACLT00000012517		9853552	9853552	9862550	113031259	10
ENSACLG00000008344	ENSACLT00000012519	dtnbb	18477643	18477643	18508844	113011687	19
ENSACLG00000008344	ENSACLT00000012530	dtnbb	18477643	18477643	18508844	113011687	19
